Nom;Position X;Position Y;Vitesse;Angle;Distance au soleil;Distance à la Terre
Mercure;311.69450451973313;361.66866812337577;40808.35133660861 m/s;-31893.140146150803 °;67073625.13653734 km;89550822.29125723 km
Vénus;285.8145921573515;329.2936740903963;35252.777925199865 m/s;-12251.251824481273 °;107489289.42877755 km;232387421.60990012 km
Terre;306.723590406337;383.49753373046264;29307.913643278458 m/s;-5206.042095915801 °;152004719.75082594 km;0.0 km
Mars;256.1777390092169;310.138526664738;22044.165021652494 m/s;-2328.078994121667 °;248477271.04590023 km;356346505.7750119 km
Jupiter;455.45181873352504;462.29767494862165;13458.685271823722 m/s;-309.1868177979458 °;754776533.2793912 km;673255353.1295059 km
Saturne;528.0149317340669;645.1048729749323;9234.365721406535 m/s;-215.41904248481364 °;1488624788.1524613 km;1370595535.9226696 km
Uranus;895.0091721177907;-104.52284154329088;6588.269458463106 m/s;-228.51615902027189 °;2961030637.6511235 km;3057433727.3783545 km
Neptune;1399.67307008182;589.7529629527958;5456.523857578161 m/s;-302.8272496650974 °;4477584480.870388 km;4448963685.545833 km
Lune;304.23957166677303;384.9608507352676;6229539159.900721 m/s;4829.497976901868 °;158302061.61642078 km;11531970.000000104 km
Cérès;226.17150450609202;402.7061410310981;18660.34621166785 m/s;-14098.018450988486 °;396913391.12155026 km;331242730.02885294 km
Pluton;2050.635657565673;26.704908214276827;3866.4282093359075 m/s;-2659.7316718641964 °;7089173561.483579 km;7120146375.581536 km
Makémaké;-1655.99757887595;475.0329120959145;3767.9045276530615 m/s;-167.63564482737968 °;7870064631.275479 km;7859417906.019589 km
Éris;3671.7854315087484;-826.7294246570505;2356.0943969018485 m/s;-199.10469795046623 °;14251579838.830254 km;14304287740.535112 km
Sedna;3894.570346255179;6810.707664192747;2698.564916714765 m/s;11.358849081466017 °;29575064472.029274 km;29443280905.380657 km
Quaoar;108.21940292719674;-1280.5211717709558;4478.059146450655 m/s;-466.66185187525457 °;6552627600.733677 km;6703267459.626382 km
Hauméa;-1372.0863570865845;1197.5509896117228;3828.923223780667 m/s;-211.11354381675665 °;7532501830.474289 km;7463067325.258062 km
Date : 20/06/2021 23:21:54
